City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Kutum,SD,76.91,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
392,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
395,Ojinaga,MX,82.4,clear sky,29.5667,-104.4167,Suites Las Palmas
397,Eydhafushi,MV,82.78,overcast clouds,5.1033,73.0708,Soneva Fushi
401,Port Moresby,PG,80.6,scattered clouds,-9.4431,147.1797,Lamana Hotel
404,Iracoubo,GF,75.04,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
408,Banda Aceh,ID,80.33,broken clouds,5.5577,95.3222,Sulthan Hotel International
414,Meulaboh,ID,76.73,overcast clouds,4.1363,96.1285,Kost Pria
416,Calabozo,VE,88.84,scattered clouds,8.9242,-67.4293,Hotel Giardini
420,Ghogha,IN,84.65,overcast clouds,21.6833,72.2833,hanumanji temple of bhankhal
421,Santa Cruz,BO,78.8,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
422,La Libertad,EC,80.6,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
427,Bubaque,GW,77.99,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
438,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
441,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
444,Tagusao,PH,79.88,overcast clouds,9.1924,117.8141,Toledo
448,Djibo,BF,87.48,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
449,Tessalit,ML,84.27,overcast clouds,20.1986,1.0114,
450,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
455,Maragogi,BR,77.85,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
457,Vanimo,PG,80.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
461,Dicabisagan,PH,77.58,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
464,Matara,LK,76.6,light rain,5.9485,80.5353,Amaloh Boutique Resort
470,Pucallpa,PE,84.2,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
476,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
482,Jasdan,IN,82.99,overcast clouds,22.0333,71.2,Radhuvir Guest House & A World Restaurant
483,Pangai,TO,84.2,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
