City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Description
192,Praia,14.9215,-23.5087,69.8,clear sky,78,0,10.36,CV,clear sky
193,Ornskoldsvik,63.2909,18.7153,32.0,overcast clouds,100,100,4.61,SE,overcast clouds
194,Port-Gentil,-0.7193,8.7815,80.6,few clouds,94,20,7.2,GA,few clouds
195,Ljungby,56.8332,13.9408,43.0,clear sky,75,6,8.05,SE,clear sky
196,Bushehr,28.9684,50.8385,78.04,broken clouds,45,78,2.66,IR,broken clouds
197,Indian Head,38.6001,-77.1622,73.4,clear sky,28,1,8.05,US,clear sky
198,Ponta Do Sol,32.6667,-17.1,60.01,overcast clouds,64,89,3.0,PT,overcast clouds
199,Bambous Virieux,-20.3428,57.7575,77.0,light rain,94,75,6.91,MU,light rain
200,Novocherkassk,47.4181,40.0939,51.01,broken clouds,87,75,20.13,RU,broken clouds
201,Abbeville,50.1,1.8333,46.99,scattered clouds,83,33,4.81,FR,scattered clouds
202,Caravelas,-17.7125,-39.2481,73.89,overcast clouds,90,98,0.4,BR,overcast clouds
203,Muros,42.7762,-9.0603,52.0,overcast clouds,93,91,2.06,ES,overcast clouds
204,Kruisfontein,-34.0033,24.7314,60.01,few clouds,92,20,3.83,ZA,few clouds
205,Erlenbach,49.1725,9.2683,44.01,few clouds,80,15,1.43,DE,few clouds
206,Wladyslawowo,54.7909,18.4009,39.99,clear sky,87,0,2.3,PL,clear sky
207,Lubao,14.9167,120.55,80.6,overcast clouds,89,90,2.3,PH,overcast clouds
208,Flin Flon,54.7682,-101.865,39.2,overcast clouds,48,90,4.61,CA,overcast clouds
209,Murray Bridge,-35.1167,139.2667,53.01,clear sky,74,2,6.85,AU,clear sky
210,Bilibino,68.0546,166.4372,28.0,scattered clouds,71,35,3.56,RU,scattered clouds
211,Santa Vitoria Do Palmar,-33.5189,-53.3681,65.62,clear sky,78,7,9.53,BR,clear sky
212,Torbay,47.6666,-52.7314,37.0,overcast clouds,93,90,16.11,CA,overcast clouds
213,Montalvo,-1.8,-79.3333,78.78,light rain,93,92,1.9,EC,light rain
214,Vestmanna,62.1564,-7.1664,32.0,clear sky,80,6,6.91,FO,clear sky
215,Shimoda,34.6667,138.95,66.2,clear sky,42,0,16.11,JP,clear sky
216,Namatanai,-3.6667,152.4333,84.0,overcast clouds,72,100,8.28,PG,overcast clouds
217,Klaksvik,62.2266,-6.589,32.0,clear sky,80,6,6.91,FO,clear sky
218,Kasempa,-13.4584,25.8338,65.75,overcast clouds,66,100,6.6,ZM,overcast clouds
219,Constitucion,-35.3333,-72.4167,58.15,overcast clouds,91,100,19.93,CL,overcast clouds
220,Praya,14.9215,-23.5087,69.8,clear sky,78,0,10.36,CV,clear sky
221,Sao Joao Da Barra,-21.6403,-41.0511,72.75,broken clouds,73,54,14.76,BR,broken clouds
222,Port Hardy,50.6996,-127.4199,53.6,scattered clouds,71,40,18.41,CA,scattered clouds
223,Shache,38.4167,77.2406,59.92,overcast clouds,24,100,7.58,CN,overcast clouds
224,San Fernando,15.0286,120.6898,78.8,overcast clouds,89,90,2.3,PH,overcast clouds
225,Alice Springs,-23.7,133.8833,59.0,clear sky,36,0,6.78,AU,clear sky
226,Chuy,-33.6971,-53.4616,65.08,clear sky,78,4,9.44,UY,clear sky
227,La Ronge,55.1001,-105.2842,48.2,broken clouds,25,75,6.91,CA,broken clouds
228,Xinyu,27.8043,114.9334,67.37,light rain,92,43,2.35,CN,light rain
229,Kushiro,42.975,144.3747,44.6,scattered clouds,36,40,10.36,JP,scattered clouds
230,Badiraguato,25.3667,-107.5167,89.01,clear sky,23,1,9.22,MX,clear sky
231,Rio Grande,-32.035,-52.0986,70.0,scattered clouds,81,31,5.99,BR,scattered clouds
232,Hay River,60.8156,-115.7999,59.0,few clouds,29,20,2.3,CA,few clouds
233,Daru,-9.0763,143.2092,76.98,overcast clouds,92,100,9.44,PG,overcast clouds
234,Veraval,20.9,70.3667,79.56,overcast clouds,83,100,12.48,IN,overcast clouds
235,Trat,12.5,102.5,76.37,scattered clouds,88,37,0.76,TH,scattered clouds
236,Tara,56.8944,74.371,27.12,broken clouds,88,52,8.79,RU,broken clouds
237,Lebu,-37.6167,-73.65,55.42,overcast clouds,95,100,7.31,CL,overcast clouds
238,Puerto Leguizamo,-0.1934,-74.7819,73.74,overcast clouds,96,97,2.53,CO,overcast clouds
239,Adrar,20.5022,-10.0711,82.87,overcast clouds,7,93,8.68,MR,overcast clouds
240,Krasnovishersk,60.4078,57.082,25.95,scattered clouds,96,27,0.31,RU,scattered clouds
241,Izumo,35.3667,132.7667,55.4,clear sky,62,0,5.75,JP,clear sky
242,Kapaa,22.0752,-159.319,78.8,light rain,69,75,8.05,US,light rain
243,Cacapava Do Sul,-30.5122,-53.4914,61.7,clear sky,71,0,9.78,BR,clear sky
244,Dalvik,65.9702,-18.5286,41.0,broken clouds,56,75,10.36,IS,broken clouds
245,Matinha,-3.1006,-45.0336,73.92,light rain,92,100,3.42,BR,light rain
246,Beloha,-25.1667,45.05,70.21,broken clouds,76,75,13.96,MG,broken clouds
247,Nome,64.5011,-165.4064,37.4,clear sky,52,1,3.44,US,clear sky
248,Muyezerskiy,63.9333,31.65,29.7,broken clouds,91,68,3.06,RU,broken clouds
249,Sistranda,63.7256,8.834,39.2,light intensity drizzle,93,75,10.36,NO,light intensity drizzle
250,Samtredia,42.1537,42.3352,55.4,light rain,100,75,3.44,GE,light rain
251,Blackwater,-23.5833,148.8833,75.58,broken clouds,60,58,5.91,AU,broken clouds
252,Minot,48.2325,-101.2963,39.2,overcast clouds,35,90,12.66,US,overcast clouds
253,Boksitogorsk,59.474,33.8485,37.0,overcast clouds,71,99,4.38,RU,overcast clouds
254,Davenport,41.5236,-90.5776,44.6,broken clouds,36,75,8.05,US,broken clouds
255,Cap Malheureux,-19.9842,57.6142,75.99,overcast clouds,85,99,5.99,MU,overcast clouds
256,Vao,-22.6667,167.4833,73.27,scattered clouds,64,33,6.73,NC,scattered clouds
257,Jega,12.2175,4.3792,90.97,scattered clouds,33,41,8.21,NG,scattered clouds
258,Mangrol,21.1167,70.1167,79.54,overcast clouds,82,100,11.1,IN,overcast clouds
259,Manuk Mangkaw,4.8,119.85,80.92,overcast clouds,79,100,3.98,PH,overcast clouds
260,Tecpan,14.7623,-90.9947,73.0,broken clouds,83,75,9.22,GT,broken clouds
261,Xining,36.6167,101.7667,45.45,overcast clouds,54,94,1.59,CN,overcast clouds
262,Malakal,9.5334,31.6605,88.86,overcast clouds,29,85,4.36,SS,overcast clouds
263,Tiarei,-17.5333,-149.3333,80.6,light rain,78,75,8.05,PF,light rain
264,Markova,48.6758,24.4138,39.63,overcast clouds,83,99,4.56,UA,overcast clouds
265,Peniche,39.3558,-9.3811,59.0,broken clouds,83,63,4.0,PT,broken clouds
266,Elizabeth City,36.2946,-76.2511,66.99,clear sky,42,1,9.22,US,clear sky
267,Ilulissat,69.2167,-51.1,17.6,scattered clouds,67,39,8.05,GL,scattered clouds
